Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Cost,Category
Chocolate syrup,2 T.,40,80,0,0,0,0,22,1,"Desserts, sweets"
Doughnuts,1,33,135,2,7,4,0,17,0.23,"Desserts, sweets"
"Gelatin, made with water",1 cup,239,155,4,0,0,0,36,2.2,"Desserts, sweets"
Honey,2 T.,42,120,0,0,0,0,30,3.2,"Jams, Jellies"
Ice cream,2 cups,300,250,0,0,12,10,0,0.53,"Desserts, sweets"
Ices,1 cup,150,117,0,0,0,0,48,0.05,"Desserts, sweets"
preserves,1 T.,20,55,0,0,0,0,14,3.4,"Jams, Jellies"
Jellies,1 T.,20,50,0,0,0,0,13,1.36,"Jams, Jellies"
Molasses,1 T.,20,45,0,0,0,8,11,2.1,"Jams, Jellies"
Cane Syrup,1 T.,20,50,0,0,0,0,13,0.03,"Jams, Jellies"
"9"" diam. pie",1 slice,135,330,3,13,11,0.1,53,1,"Desserts, sweets"
Cherry Pie,1 slice,135,340,3,13,11,0.1,55,1,"Desserts, sweets"
Custard,1 slice,130,265,7,11,10,0,34,1,"Desserts, sweets"
Lemon meringue,1 slice,120,300,4,12,10,0.1,45,1,"Desserts, sweets"
Mince,1 slice,135,340,3,9,8,0.7,62,1.25,"Desserts, sweets"
Pumpkin Pie,1 slice,130,265,5,12,11,8,34,1,"Desserts, sweets"
Puddings Sugar,1 cup,200,770,0,0,0,0,199,3,"Desserts, sweets"
3 teaspoons sugar,1 T.,12,50,0,0,0,0,12,0.024,"Desserts, sweets"
Syrup,2 T.,40,100,0,0,0,0,25,1.6,"Jams, Jellies"
table blends sugar,2 T.,40,110,0,0,0,0,29,0.6,"Jams, Jellies"
Tapioca cream pudding,1 cup,250,335,10,10,9,0,42,1,"Desserts, sweets"
Almonds,1/2 cup,70,425,13,38,28,1.8,13,2.45,Seeds and Nuts
roasted and salted,1/2 cup,70,439,13,40,31,1.8,13,4,Seeds and Nuts
Brazil nuts,1/2 cup,70,457,10,47,31,2,7,3.5,Seeds and Nuts
Cashews,1/2 cup,70,392,12,32,28,0.9,20,2.8,Seeds and Nuts
coconut sweetened,1/2 cup,50,274,1,20,19,2,26,0.75,Seeds and Nuts
Peanut butter,1/3 cup,50,300,12,25,17,0.9,9,0.33,Seeds and Nuts
"Peanut butter, natural",1/3 cup,50,284,13,24,10,0.9,8,0.44,Seeds and Nuts
